2024-06-06 02:01:36 MainThread:27552 [student] INFO [E:\python_program\EAS\interface\student_interface.py:22] fei注册成功！
2024-06-06 02:08:47 MainThread:22200 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-06 02:08:47 MainThread:22200 [视图层] INFO [E:\python_program\EAS\core\src.py:57] ray登录成功
2024-06-06 02:20:09 MainThread:17776 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-06 02:20:09 MainThread:17776 [视图层] INFO [E:\python_program\EAS\core\src.py:65] ray登录成功
2024-06-06 02:20:18 MainThread:25712 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-06 02:20:18 MainThread:25712 [视图层] INFO [E:\python_program\EAS\core\src.py:65] ray登录成功
2024-06-09 16:31:07 MainThread:25436 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-09 16:31:07 MainThread:25436 [视图层] INFO [E:\python_program\EAS\core\src.py:104] ray登录成功
2024-06-09 16:31:10 MainThread:25436 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-09 16:31:10 MainThread:25436 [视图层] INFO [E:\python_program\EAS\core\src.py:104] ray登录成功
2024-06-16 22:51:11 MainThread:2556 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 22:51:11 MainThread:2556 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 22:51:14 MainThread:2556 [admin] INFO [E:\python_program\EAS\interface\admin_interface.py:30] ray添加学校：123成功！
2024-06-16 22:51:21 MainThread:8112 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 22:51:21 MainThread:8112 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 22:52:11 MainThread:22680 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 22:52:11 MainThread:22680 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 22:54:48 MainThread:21792 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 22:54:48 MainThread:21792 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 22:55:12 MainThread:22596 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 22:55:12 MainThread:22596 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 22:57:23 MainThread:17492 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 22:57:23 MainThread:17492 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 22:58:27 MainThread:19600 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 22:58:27 MainThread:19600 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:00:03 MainThread:17568 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:00:03 MainThread:17568 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:00:24 MainThread:22748 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:00:24 MainThread:22748 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:01:26 MainThread:19284 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:01:26 MainThread:19284 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:01:58 MainThread:5516 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:01:58 MainThread:5516 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:02:22 MainThread:10140 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:02:22 MainThread:10140 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:10:01 MainThread:19984 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:10:01 MainThread:19984 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:11:07 MainThread:18860 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:11:07 MainThread:18860 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:11:33 MainThread:4676 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:11:33 MainThread:4676 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:13:03 MainThread:9752 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:13:03 MainThread:9752 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:13:31 MainThread:11676 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:13:31 MainThread:11676 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
2024-06-16 23:14:05 MainThread:12128 [common] INFO [E:\python_program\EAS\interface\common_interface.py:38] 用户ray登录成功！
2024-06-16 23:14:05 MainThread:12128 [视图层] INFO [E:\python_program\EAS\core\src.py:109] ray登录成功
